Sourness;Fruitiness;Sweetness;Saltiness;Preservatives;Alcohol%;Quality
7.4;0.0;1.9;0.076;34.0;9.4;0
7.8;0.0;2.6;0.098;67.0;9.8;0
7.8;0.04;2.3;0.092;54.0;9.8;0
11.2;0.56;1.9;0.075;60.0;9.8;1
7.4;0.0;1.9;0.076;34.0;9.4;0
7.4;0.0;1.8;0.075;40.0;9.4;0
7.9;0.06;1.6;0.069;59.0;9.4;0
7.3;0.0;1.2;0.065;21.0;10.0;1
7.8;0.02;2.0;0.073;18.0;9.5;1
7.5;0.36;6.1;0.071;102.0;10.5;0
6.7;0.08;1.8;0.097;65.0;9.2;0
7.5;0.36;6.1;0.071;102.0;10.5;0
5.6;0.0;1.6;0.089;59.0;9.9;0
7.8;0.29;1.6;0.114;29.0;9.1;0
8.9;0.18;3.8;0.176;145.0;9.2;0
8.9;0.19;3.9;0.17;148.0;9.2;0
8.5;0.56;1.8;0.092;103.0;10.5;1
8.1;0.28;1.7;0.368;56.0;9.3;0
7.4;0.08;4.4;0.086;29.0;9.0;0
7.9;0.51;1.8;0.341;56.0;9.2;1
8.9;0.48;1.8;0.077;60.0;9.4;1
7.6;0.31;2.3;0.082;71.0;9.7;0
7.9;0.21;1.6;0.106;37.0;9.5;0
8.5;0.11;2.3;0.084;67.0;9.4;0
6.9;0.14;2.4;0.085;40.0;9.7;1
6.3;0.16;1.4;0.08;23.0;9.3;0
7.6;0.24;1.8;0.08;11.0;9.5;0
7.9;0.21;1.6;0.106;37.0;9.5;0
7.1;0.0;1.9;0.08;35.0;9.4;0
7.8;0.0;2.0;0.082;16.0;9.8;1
6.7;0.07;2.4;0.089;82.0;10.1;0
6.9;0.0;2.5;0.105;37.0;10.6;1
8.3;0.12;2.3;0.083;113.0;9.8;0
6.9;0.12;10.7;0.073;83.0;9.4;1
5.2;0.25;1.8;0.103;50.0;9.2;0
7.8;0.0;5.5;0.086;18.0;9.6;1
7.8;0.14;2.4;0.086;15.0;10.8;1
8.1;0.28;2.1;0.066;30.0;9.7;1
5.7;0.09;1.5;0.172;19.0;9.8;0
7.3;0.36;5.9;0.074;87.0;10.5;0
7.3;0.36;5.9;0.074;87.0;10.5;0
8.8;0.3;2.8;0.088;46.0;9.3;0
7.5;0.2;2.6;0.332;14.0;10.5;1
8.1;0.22;2.2;0.069;23.0;10.3;0
6.8;0.02;1.8;0.05;11.0;9.5;0
4.6;0.15;2.1;0.054;65.0;13.1;0
7.7;0.43;2.2;0.114;114.0;9.2;0
8.7;0.52;1.6;0.113;37.0;9.5;0
6.4;0.23;1.6;0.066;12.0;9.2;0
5.6;0.37;1.4;0.074;96.0;9.2;0
8.8;0.26;1.7;0.074;23.0;9.2;0
6.6;0.04;2.2;0.069;15.0;9.4;1
6.6;0.04;2.1;0.068;14.0;9.4;1
8.6;0.36;3.0;0.081;119.0;9.4;0
7.6;0.15;2.8;0.11;73.0;10.2;1
